Title,Review,Rating,Date
Love this under-all cami tank ?,"Originally i bought this in black and white. recently purchased several more in different colorways . why? it's just perfect to wear as an under tank/cami. i'm a busty gal and sometimes cami straps can be too thin and dig into my shoulders. this is soft, smooth and provides just enough coverage. very flattering fit on its own as well. great under loose knit or low cut sweaters. love!",5,07/06/2018
Staple tank!,Love this tank. material and fit are great. love that it's reversible. highly recommend!,5,01/09/2018
Love but also very annoying,"I love this tank, it is so comfortable but it does have its flaws. it rolls up every time i walk or do anything, it becomes very bothersome.",2,30/06/2018
"Gorgeous top, straps way too long","I just adore this top! it is so comfy and stylish. i wear it with a little purple cardigan and feel like an iris in bloom. like other reviewers have mentioned though, the straps are way too long. i had to cut them down and re-sew to make it wearable. before that it just slouched in front and looked sloppy and awful. i tried layering under it, which looked absurd.",4,18/07/2018
Great layering piece,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,11/07/2018
Oldie but goodie,"I'm currently on the prowl for the other colors of this fantastic sweater dress/tunic. i own the lavender in size m and it fits perfectly on me (5'3"" 36dd) without enhancing what i want to hide. great for winter",5,04/08/2018
Four winters in... a winner!,"I love this coat. i bought it in 2012, and it still looks great in 2015. i only wear it a few times each season, but it makes me smile. it's tailored, feminine, and a bit flashy. it's fairly warm, too.",5,30/11/2018
Great coverage,"This bathing suit has everything. i especially love the ruching in the waist and the boy short bottom. finally the coverage my booty needs. i've worn it dozens of times and it still holds its quality and looks brand new. i get a lot of compliments every time i wear it.
the only drawback is it doesn't dry very quickly. after a dip in the pool or the lake it stays wet for hours even when i'm laying out in the summer heat.",5,11/04/2018
Cute suit-didn't work for me,"This suit was high quality, and a cute design. however, it is clearly made for a lean body type.",1,07/02/2018
Retro style,I bought a size 8 a few years back not my regular size but when used it tend to sag. so this time i bought a size 6 my regular size.,5,28/08/2018
Alas not as good as it looks,"The suit is lovely, but it is very long in the torso and gaps at the leg. i was told that it runs small and to size up to a 10. i did, but i do not think the smaller one would have done better. the bust is fake and it turns out when untied. worst of all it emphasizes the tummy. all in all not a good look for me. i am not heavy but i do need tummy support. normally i wear an 8 and in garnet hill a 6. sorry but it went back. i really wanted to like it.",2,05/04/2018
Love this suit!,"I am 5'5, 150lb, generally size medium shirt, size 6 or 8 pants and bought a size 8. i have had two c-sections so my stomach has some problem areas, which can be easily highlighted in a swimsuit- not this one! i felt good, it hid my problem spots, showed off curves and stays in place! i can't speak to the durability of it yet, however, it makes me feel great, and that is tough when i am in a bathing suit. that in itself makes it worth the price! try it!",5,05/03/2018
Not what i expected,"I bought this suit based on the great reviews. i was so bummed when i tried it on. the top fit so well but the bottom kept bunching up. my torso is on the longer side so maybe that's why the bottoms keep coming up. every time i pulled the shorts down, the top would come down too, and vice versa. i am 5'5 and 120lbs and bought a 2 which is my normal size. i did like that the top had a bit of padding but that's the extent of what i liked about it. i will be returning it.",2,18/05/2018
Such a nice bathing suit!,"This is my first one piece bathing suit, and i absolutely love it. the quality is great ! the color doesn't fade.
i usually wear a size 4 but i ordered a size 6 and it fits perfectly.",5,18/03/2018
Okay leggings,"The velvet isn't as soft or plush as i thought it would be but these are comfy pants. i won't wear them until next winter, which is fine.",4,05/10/2018
Comfy and cute,"This dress is comfortable and a great piece to travel with. goes with ballet flats, sandals, to ankle boots.",4,11/06/2018
Wanted to love it,"The color says red but it's more like a rust. i'm 5'3"" so it was long and would need to be tailored and the fabric is so thin i was afraid it would rip if it got caught on anything.

finally returned it without it making it out the door :(",2,29/05/2018
